NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type,Locations
NCT07151781,Technology Supported Mindfulness for Prenatal Depression and Mental Health-related Quality of Life in a Resource-Limited Environment,https://clinicaltrials.gov/study/NCT07151781,NOT_YET_RECRUITING,Prenatal Depression|Mental Health Related Quality of Life|Maternal Postpartum Depression|Paternal Postpartum Depression,OTHER: Video-guided Mindfulness Exercise,Bekelu Teka Worku,Jimma University,INTERVENTIONAL,"Jimma City in the Southwestern part of Ethiopia, 353 km away from the capital city, Addis Ababa., Jimma, Ethiopia"
NCT07151768,Prospective Validation of the Novel PVD-B65 Risk Score in Patients With Chronic Lung Disease and Pulmonary Hypertension,https://clinicaltrials.gov/study/NCT07151768,RECRUITING,Chronic Lung Disease|Pulmonary Hypertension,DIAGNOSTIC_TEST: Observational Study,Temple University,,OBSERVATIONAL,"Temple University Hospital, Philadelphia, Pennsylvania, 19140, United States"
NCT07151755,Microneedle Intra-Arterial Injection for Retinal Artery Occlusion,https://clinicaltrials.gov/study/NCT07151755,RECRUITING,Central Retinal Artery Occlusion,PROCEDURE: Vitrectomy + Direct Intra-Arterial Microneedle Thrombolysis + Standard Care|PROCEDURE: Standard Clinical Care Only,"Second Affiliated Hospital, School of Medicine, Zhejiang University",,INTERVENTIONAL,"Eye Center of the Second Affiliated Hospital of Zhejiang University, Hangzhou, Zhejiang, 310058, China"
NCT07151742,Effects of Intradialytic Exercise on Muscle Oxygenation and Dialysis Adequacy,https://clinicaltrials.gov/study/NCT07151742,ENROLLING_BY_INVITATION,"Chronic Kidney Disease, Stage 5|Sarcopenia",OTHER: EXERCISE TRAINING WITH OR WITHOUT MEDICATION,Istinye University,,INTERVENTIONAL,"Kadıköy Ata Dialysis Center, Istanbul, Kadikoy, 34720, Turkey (Türkiye)"
NCT07151729,Use of Anodal tDCS to Enhance Upper Limb Recovery in Stroke,https://clinicaltrials.gov/study/NCT07151729,RECRUITING,Stroke,DEVICE: Anodal tDCS|DEVICE: Sham tDCS,Tan Tock Seng Hospital,Ng Teng Fong Healthcare Innovation Programme,INTERVENTIONAL,"Tan Tock Seng Hospital - Integrated Care Hub, Singapore, Singapore, 307382, Singapore"
NCT07151716,Sedation With Dexmedetomidine-esketamine Combination and Delirium in ICU Patients,https://clinicaltrials.gov/study/NCT07151716,NOT_YET_RECRUITING,Older Patients|Postoperative Care|Intensive Care Unit|Dexmedetomidine|Esketamine|Delirium,DRUG: Dexmedetomidine|DRUG: Dexmedetomidine-esketamine combination,Peking University First Hospital,,INTERVENTIONAL,"Peking University First Hospital, Beijing, Beijing Municipality, 100034, China"
NCT07151703,Topical Versus Injection PRP for Olfactory Dysfunction,https://clinicaltrials.gov/study/NCT07151703,NOT_YET_RECRUITING,Olfactory Dysfunction|Anosmia|Hyposmia,PROCEDURE: Intranasal Injection of Autologous PRP|PROCEDURE: Carrier-Assisted Topical Application of Autologous PRP|COMBINATION_PRODUCT: platelet-rich plasma|DEVICE: olfactory training,"Taipei Veterans General Hospital, Taiwan",,INTERVENTIONAL,"Taipei Veterans General Hospital, Taipei, 112201, Taiwan"
NCT07151690,BCMA/CD3 Bispecific Antibody Treatment for Newly Diagnosed Amyloidosis,https://clinicaltrials.gov/study/NCT07151690,NOT_YET_RECRUITING,Systemic Light Chain Amyloidosis,DRUG: anti-BCMA/CD3 bispecific antibody,"Institute of Hematology & Blood Diseases Hospital, China",,INTERVENTIONAL,"Institute of Hematology and Blood Diseases Hospital Chinese Academy of Medical Sciences, Tianjin, 300000, China"
NCT07151677,Brain Stimulation Effects on Post-Stroke Fatigue and Aphasia,https://clinicaltrials.gov/study/NCT07151677,RECRUITING,Aphasia Following Cerebral Infarction|Stroke Ischemic|Fatigue Symptom,DEVICE: tDCS (active)|BEHAVIORAL: Attention-focused sentence comprehension treatment|BEHAVIORAL: Sentence comprehension treatment|DEVICE: tDCS (sham),Syracuse University,National Institute on Deafness and Other Communication Disorders (NIDCD),INTERVENTIONAL,"University of Michigan, Ann Arbor, Michigan, 48109, United States|Syracuse University, Syracuse, New York, 13244, United States"
NCT07151664,Retrospective Analysis of Quality of Life Changes in Patients Undergoing Parathyroidectomy for End-Stage Renal Disease,https://clinicaltrials.gov/study/NCT07151664,NOT_YET_RECRUITING,Secondary Hyperparathyroidism Due to Renal Causes|End Stage Renal Failure,OTHER: Quality of life progression after parathyroidectomy,West China Hospital,,OBSERVATIONAL,
NCT07151651,A Comparison Between Biportal and Uniportal Endoscopic Lumbar Discectomy,https://clinicaltrials.gov/study/NCT07151651,NOT_YET_RECRUITING,Lumbar Disc Herniation,PROCEDURE: Endoscopic lumbar discectomy,Sohag University,,INTERVENTIONAL,"Sohag University, Sohag, Sohag Governorate, 002, Egypt"
NCT07151638,First-in-Human Safety Study for Fractomer™ Biomatrix,https://clinicaltrials.gov/study/NCT07151638,NOT_YET_RECRUITING,Soft Tissue|Soft Tissue Defects|Subcutaneous Injection,DEVICE: Implantation (injection) of a new biomatrix for soft tissue support.,"inSoma Bio, Inc.",,INTERVENTIONAL,"Nucleus Network, Saint Paul, Minnesota, 55114, United States"
NCT07151625,Protein Complementation of Plant-based Diets.,https://clinicaltrials.gov/study/NCT07151625,NOT_YET_RECRUITING,"Each Participant Will be Studied Over 5 Dietary Periods, Each Over 9d","OTHER: Diet, whole food provided to participants over 5 x 9 day period|OTHER: Diet",The Hospital for Sick Children,,INTERVENTIONAL,"The Hospital for Sick Children, Toronto, Ontario, M5S 1A8, Canada"
NCT07151612,The Development of New Functions of Esculin and Digitalis Glycosides Eye Drops: A Study on the Treatment of Presbyopia,https://clinicaltrials.gov/study/NCT07151612,NOT_YET_RECRUITING,Presbyopia,DRUG: Esculin and Digitalisglycosides Eye Drops|DRUG: Normal saline solution,Yan Gao,,INTERVENTIONAL,
NCT07151599,Efficacy of Combined Fractional Er:Glass and Thulium Lasers Versus Microneedling for Atrophic Acne Scars,https://clinicaltrials.gov/study/NCT07151599,NOT_YET_RECRUITING,Acne Scars,DEVICE: Microneedling|DEVICE: Fractionated Er:Glass Laser combined to Fractionated Thulium Laser,University of Nove de Julho,,INTERVENTIONAL,
NCT07151586,Testing Two Different Drugs (Sacituzumab-govitecan and Trastuzumab-deruxtecan) Combinations Prescribed in an Alterning Pattern to Patients With Metastatic or Locally Advanced Triple-negative Breast Cancer,https://clinicaltrials.gov/study/NCT07151586,NOT_YET_RECRUITING,Triple Negative Breast Neoplasms|Neoplasm Metastasis|HER 2 Low-expressing Breast Cancer,DRUG: Sacituzumab Govitecan / Trastuzumab Deruxtecan,UNICANCER,,INTERVENTIONAL,"institut Paoli calmette, Marseille, 13009, France|Gustave Roussy, Villejuif, 94800, France"
NCT07151573,Evaluating the Big Five Intervention in Norway,https://clinicaltrials.gov/study/NCT07151573,NOT_YET_RECRUITING,Anxiety Depression,OTHER: Big Five|OTHER: Gratitude,Haukeland University Hospital,The Research Council of Norway,INTERVENTIONAL,"Research centre for digital mental health services, Bergen, Vestland, 5009, Norway"
NCT07151560,"Efficacy and Safety of Two Bladder-preserving Treatment Durations With Disitamab Vedotin Plus Toripalimab Combination in Her2-expressing Muscle-invasive Bladder Cancer: A Phase II, Open-Label, Randomized Clinical Trial",https://clinicaltrials.gov/study/NCT07151560,NOT_YET_RECRUITING,Urology,DRUG: 6 cycle RC48 and JS001|DRUG: 12 cycle RC48 and JS001,Renmin Hospital of Wuhan University,,INTERVENTIONAL,
NCT07151547,Cut-Off Values for Gait and Balance in MS,https://clinicaltrials.gov/study/NCT07151547,RECRUITING,Multiple Sclerosis,,Hacettepe University,,OBSERVATIONAL,"Hacettepe University, Ankara, Altındağ, Turkey (Türkiye)"
NCT07151534,"Body Awareness, Trunk Stability, and Arm Function in MS",https://clinicaltrials.gov/study/NCT07151534,RECRUITING,Multiple Sclerosis,,Hacettepe University,,OBSERVATIONAL,"Hacettepe University, Ankara, Altındağ, Turkey (Türkiye)"
NCT07151521,(68)Ga-FAPI PET/CT in Patients With ANCA-associated Vasculitis,https://clinicaltrials.gov/study/NCT07151521,NOT_YET_RECRUITING,ANCA-associated Vasculitis,,Ruijin Hospital,,OBSERVATIONAL,
NCT07151508,Successful Treatment of Netherton Syndrome With Combination of Secukinumab and Dupilumab,https://clinicaltrials.gov/study/NCT07151508,COMPLETED,Neterton Syndrome,DEVICE: Secukinumab was administered in a weight-adapted dosing regimen ? Dupilumab was administered at a dose dependent on the patient's weight and age,"Federal Research Institute of Pediatric Hematology, Oncology and Immunology",,OBSERVATIONAL,"Dmitry Rogachev National Medical Research Center Of Pediatric Hematology, Oncology and Immunology, Moscow, Russia"
NCT07151495,Additive Prognostic Value of PALS Compared to Bernard's Staging in Patients Undergoing MV Surgery,https://clinicaltrials.gov/study/NCT07151495,NOT_YET_RECRUITING,Mitral Regurgitation,DIAGNOSTIC_TEST: Speckle tracking and 2D echocardiography,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,University of Siena,OBSERVATIONAL,
NCT07151482,Impact of Oral Supplementation With Bioactive Collagen Peptides and Other Functional Ingredients,https://clinicaltrials.gov/study/NCT07151482,NOT_YET_RECRUITING,Genitourinary Syndrome of Menopause,DIETARY_SUPPLEMENT: Collagendep,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,,OBSERVATIONAL,
NCT07151469,Kaltenborn Versus Active Release on Temporomandibular Joint Dysfunction,https://clinicaltrials.gov/study/NCT07151469,NOT_YET_RECRUITING,Head and Neck Cancer,OTHER: Kaltenborn mobilization|OTHER: active release technique,MTI University,,INTERVENTIONAL,
NCT07151456,Short-term gluCOCOrticoid in Adult STEROID-sensitive Nephrotic Syndrome: The COCO-ASTEROID Study,https://clinicaltrials.gov/study/NCT07151456,NOT_YET_RECRUITING,Idiopathic Nephrotic Syndrome,DRUG: Conventional 24-week glucocorticoid regimen|DRUG: short-term course (12 week) glucocorticoid regimen,First Affiliated Hospital of Wenzhou Medical University,,INTERVENTIONAL,"The First Affiliated Hospital of Wenzhou Medical University, Wenzhou, Zhejiang, 325000, China"
NCT07151443,Comparison of Conventional and Retroclavicular Approaches for Ultrasound-guided Infraclavicular Brachial Plexus Block,https://clinicaltrials.gov/study/NCT07151443,NOT_YET_RECRUITING,Peripheral Nerve Block|Pain Management|Forearm Surgery|Hand Surgery|Upper Extremity,PROCEDURE: Conventional approach to infraclavicular block|PROCEDURE: Retroclavicular approach to the infraclavicular block,Ankara Etlik City Hospital,,INTERVENTIONAL,"Ankara Etlik City Hospital, Yenimahalle, Ankara, 06170, Turkey (Türkiye)"
NCT07151430,Development and Validation of a Comprehensive Management Service Package for Older Adults With Multimorbidity,https://clinicaltrials.gov/study/NCT07151430,NOT_YET_RECRUITING,Multimorbidity|Hypertension|Diabetes Mellitus|Coronary Artery Disease|Dyslipidemia|Stroke|Arthritis|Cognitive Impairment|Depression - Major Depressive Disorder|Chronic Kidney Disease|Chronic Liver Diseases,DEVICE: Service Package Group,"Xuanwu Hospital, Beijing",,INTERVENTIONAL,
NCT07151417,Use of Corticosteroid in Intraopertive Injections in Total Knee Replacement Surgery.,https://clinicaltrials.gov/study/NCT07151417,NOT_YET_RECRUITING,Knee Osteoarthritis|Musculoskeletal Disease|Surgery,DRUG: PAI|DRUG: PAI + steroid|DRUG: PAI + zilretta,Walter Reed National Military Medical Center,,INTERVENTIONAL,"Walter Reed National Military Medical Center, Bethesda, Maryland, 20889, United States"
NCT07151404,Efficacy of Acupuncture at Lieque (LU7) for Neck Pain in Cervical Spondylosis,https://clinicaltrials.gov/study/NCT07151404,NOT_YET_RECRUITING,Cervical Spondylosis|Neck Pain,PROCEDURE: Acupuncture at LU7 (Lieque) + Electroacupuncture|PROCEDURE: Electroacupuncture Only,Nguyen Ngoc Doan Thuy,,INTERVENTIONAL,"Thu Duc City Hospital, Ho Chi Minh City, Ho Chi Minh, 700000, Vietnam"
NCT07151391,The Use of Guarana to Treat Fatigue in Patients With Neuroendocrine Tumors and Gynecologic Cancers (Guarana Fatigue),https://clinicaltrials.gov/study/NCT07151391,NOT_YET_RECRUITING,Neuroendocrine Tumors|Gynecologic Cancer,DRUG: Guarana|DRUG: Placebo,University of Utah,,INTERVENTIONAL,"Huntsman Cancer Institute at University of Utah, Salt Lake City, Utah, 84112, United States"
NCT07151378,Intestinal Levodopa + Entacapone Therapy (Lecigon®) to Counteract Dopaminergic Desensitization and Neuropsychiatric Complications in Parkinson's Disease,https://clinicaltrials.gov/study/NCT07151378,NOT_YET_RECRUITING,PARKINSON DISEASE (Disorder),"DRUG: LECIG (levodopa, carbidopa, entacapone intestinal gel)|DRUG: Best oral medication",University Hospital Tuebingen,,INTERVENTIONAL,"Centre for Neurology, Department forNeurodegenerative Disease, and Hertie-Institute forClinical Brain Research, Tübingen, 72076, Germany"
NCT07151365,Plant-based Diets and Healthy Aging,https://clinicaltrials.gov/study/NCT07151365,ENROLLING_BY_INVITATION,Healthy Aging|Sarcopenia|Frailty|Cognitive Decline,,"National Health Research Institutes, Taiwan",,OBSERVATIONAL,"Dalin Tzu Chi Hospital., Dalin, Chiayi, 622, Taiwan"
NCT07151352,Footwear and Brain Activity in Children,https://clinicaltrials.gov/study/NCT07151352,ACTIVE_NOT_RECRUITING,Foot|Footwear|Children,OTHER: Starting Condition - Barefoot|OTHER: Barefoot-Style Footwear|OTHER: Conventional Footwear with Heel Drop,University of Malaga,,INTERVENTIONAL,"University of Malaga, Málaga, Malaga, 29071, Spain"
NCT07151339,Pilot Project Renal and Cardiovascular Tertiary Prevention in Preeclampsia,https://clinicaltrials.gov/study/NCT07151339,RECRUITING,Preeclampsia|HELLP Syndrome|Eclampsia|Kidney Disease,,University Hospital Schleswig-Holstein,,OBSERVATIONAL,"University Hospital Schleswig- Holstein, Kiel, 24105, Germany"
NCT07151326,Cabozantinib for Progressive HCC Post-first-line Immuno-oncologic Combination Therapy,https://clinicaltrials.gov/study/NCT07151326,NOT_YET_RECRUITING,Hepatocellular Carcinoma (HCC),DRUG: Cabozantinib,"National Health Research Institutes, Taiwan","National Taiwan University Hospital|Taipei Veterans General Hospital, Taiwan|Tri-Service General Hospital|Mackay Memorial Hospital|Chang Gung Memorial Hospital|China Medical University Hospital|Taichung Veterans General Hospital|National Cheng-Kung University Hospital",INTERVENTIONAL,"Chang-Gung Memorial Hospital, Kaohsiung, Kaohsiung City, Taiwan|Taichung Veterans General Hospital, Taichung, 407, Taiwan|China Medical University Hospital, Taichung, Taiwan|National Cheng-Kung University Hospital, Tainan City, Taiwan|National Taiwan University Hospital, Taipei, 100, Taiwan|Mackay Memorial Hospital, Taipei, 104, Taiwan|Taipei Veterans General Hospital, Taipei, Taiwan|Tri-Service General Hospital, Taipei, Taiwan|Chang Gung Memorial Hospital (Lin-Kou),, Taoyuan District, Taiwan"
NCT07151313,Efficacy of Bee Venom Phonophoresis in Treating Chronic Sinusitis:,https://clinicaltrials.gov/study/NCT07151313,NOT_YET_RECRUITING,Chronic Sinusitis|Acute Sinusitis|Rhinosinusitis,DEVICE: Bee Venom Phonophoresis|DRUG: Standard Care (oral decongestants + saline nasal irrigation)|BIOLOGICAL: Bee Venom Phonophoresis,Sinai University,,INTERVENTIONAL,"Sinai university, Cairo, 44511, Egypt"
NCT07151300,Phonophoresis With Bee Venom: Evaluating Its Efficacy in Managing Pain and Enhancing Mobility in Knee Osteoarthritis Patients,https://clinicaltrials.gov/study/NCT07151300,NOT_YET_RECRUITING,Knee Osteoarthritis|Osteoarthritis,DEVICE: Ultrasound therapy unit|BIOLOGICAL: Bee venom topical preparation (for phonophoresis),Sinai University,,INTERVENTIONAL,"Sinai university, Cairo, 44511, Egypt"
NCT07151287,"Diagnosis of Intracranial Hypertension Using TCCD, ONSD and ODH by Bedside Ultrasound",https://clinicaltrials.gov/study/NCT07151287,NOT_YET_RECRUITING,Traumatic Brain Injury,DIAGNOSTIC_TEST: TCCD|DIAGNOSTIC_TEST: ONSD|DIAGNOSTIC_TEST: ODH|DIAGNOSTIC_TEST: Invasive ICP,Xiangya Hospital of Central South University,,OBSERVATIONAL,
NCT07151274,Impact of Ehlers-Danlos Syndrome on Gynaecological Health,https://clinicaltrials.gov/study/NCT07151274,NOT_YET_RECRUITING,Ehlers-Danlos Syndrome (EDS),,"University Hospital, Rouen",,OBSERVATIONAL,
NCT07151261,Ashwagandha for Nighttime Waking,https://clinicaltrials.gov/study/NCT07151261,NOT_YET_RECRUITING,Disturbed Sleep,DIETARY_SUPPLEMENT: Ashwagandha|OTHER: Placebo,National University of Natural Medicine,,INTERVENTIONAL,"National University of Natural Medicine, Portland, Oregon, 97201, United States"
NCT07151248,Cranial Electrotherapy Stimulation and Brain Imaging for Gulf War Syndrome,https://clinicaltrials.gov/study/NCT07151248,NOT_YET_RECRUITING,Gulf War Syndrome,DEVICE: Cranial electrical/electrotherapy stimulation (CES)|DEVICE: Sham Cranial electrical/electrotherapy stimulation (CES),Emory University,United States Department of Defense,INTERVENTIONAL,"Emory Clinic, Atlanta, Georgia, 30307, United States"
NCT07151235,Wildfire Related Air Pollution Exposure and Cognitive Function Pilot Study,https://clinicaltrials.gov/study/NCT07151235,NOT_YET_RECRUITING,Healthy Participants,OTHER: Simulated wildfire smoke exposure|OTHER: Clean Air exposure,"Rutgers, The State University of New Jersey",,INTERVENTIONAL,
NCT07151222,Role of Red Blood Cells in Cardiovascular Disease,https://clinicaltrials.gov/study/NCT07151222,RECRUITING,Diabetes Mellitus,,Karolinska Institutet,Karolinska University Hospital,OBSERVATIONAL,"Karolinska Institutet, Stockholm, Swsden, 17176, Sweden"
NCT07151209,"Immunotherapy Combined With Anti-angiogenic Therapy and Chemotherapy for Potentially Resectable MSI-H, dMMR Locally Advanced Gastric or Gastroesophageal Junction Adenocarcinoma",https://clinicaltrials.gov/study/NCT07151209,NOT_YET_RECRUITING,Gastric or Gastroesophageal Junction Adenocarcinoma,DRUG: Iparomlimab and Tuvonralimab combined with lenvatinib and SOX,The First Affiliated Hospital with Nanjing Medical University,,INTERVENTIONAL,
